Count of jobtitle,,
Row Labels,Total,probablity
boot & shoe packer,1,1.56311E-05
boot & shoe pressman,1,1.56311E-05
boot & shoemaker,3,4.68933E-05
boot and shoe closer,1,1.56311E-05
boot and shoe dealer,4,6.25244E-05
boot and shoe factor,1,1.56311E-05
boot and shoe foreman,1,1.56311E-05
boot and shoe maker,27,0.00042204
boot and shoe maker (retailer),2,3.12622E-05
boot and shoe manager,1,1.56311E-05
boot and shoe manufacturer,3,4.68933E-05
boot and shoe repairer,2,3.12622E-05
boot and shoe shop manageress,1,1.56311E-05
boot and shoemaker,5,7.81555E-05
boot binder,1,1.56311E-05
boot clicker,4,6.25244E-05
